dt,winning_bid_max,winning_bid_min,winning_bid_mean,auction_trading_volume,auction_lots_count,all_auctions_lots_count,auction_name,auction_slug
2021-05-01,55500.0,15.0,412.6,3415902.0,8279,42530,Whisky Auctioneer,whiskyauctioneer
2021-05-01,2400.0,5.0,227.7,22542.5,99,42530,Whisky Bull Auctions,whisky-bull-auctions
2021-05-01,30750.0,20.0,319.37,1280670.0,4010,42530,Whisky Hammer,whisky-hammer
2021-05-01,15800.0,5.0,189.88,168230.5,886,42530,Whisky-Online Auctions,whisky-online-auctions
2021-05-01,7300.0,2.5,100.79,61080.0,606,42530,WVA Whisky Auctions,wva-whisky-auctions
2021-04-01,8094.0,5.0,162.83,766287.0,4706,43356,Catawiki Whisky Auction,catawiki
2021-04-01,1873.0,15.0,208.45,18552.0,89,43356,European Whisky Auctions,european-whisky-auctions
2021-04-01,1775.0,65.0,349.17,4190.0,12,43356,Global Whisky Auctions,global-whisky-auctions
2021-04-01,15889.0,17.0,275.68,239294.0,868,43356,Irish Whiskey Auctions,irish-whiskey-auctions
2021-04-01,7620.0,2.5,274.98,328877.54,1196,43356,Just Whisky Auctions,just-whisky
2021-04-01,3600.0,15.0,237.47,283299.0,1193,43356,Rum Auctioneer,rumauctioneer
2021-04-01,56000.0,20.0,272.45,1768230.0,6490,43356,Scotch Whisky Auctions,scotchwhiskyauctions
2021-04-01,325279.5,72.3,4663.91,1506442.9,323,43356,Sotheby's Whisky Auction,sothebys-whisky-auction
2021-04-01,21100.0,10.0,316.71,196043.0,619,43356,Speyside Whisky Auctions,speyside-whisky-auctions
2021-04-01,20750.0,2.0,291.3,619601.81,2127,43356,The Grand Whisky Auction,thegrandwhiskyauction
2021-04-01,21000.0,15.0,230.07,231915.0,1008,43356,The Whisky Shop Auctions,the-whisky-shop-auctions
2021-04-01,9200.0,2.0,125.18,550520.0,4398,43356,Whisky.Auction,whiskyauction
2021-04-01,8939.4,0.9,166.71,977949.8,5866,43356,WhiskyAuction.com,whiskyauctioncom
2021-04-01,54500.0,15.0,428.57,4164459.0,9717,43356,Whisky Auctioneer,whiskyauctioneer
2021-04-01,2500.0,5.0,202.1,27283.5,135,43356,Whisky Bull Auctions,whisky-bull-auctions
2021-04-01,39000.0,20.0,362.08,1095295.0,3025,43356,Whisky Hammer,whisky-hammer
2021-04-01,3700.0,2.0,211.12,140185.0,664,43356,Whisky-Online Auctions,whisky-online-auctions
2021-04-01,4050.0,2.5,64.88,59690.0,920,43356,WVA Whisky Auctions,wva-whisky-auctions
2021-03-01,8656.0,14.0,187.35,928329.0,4955,38735,Catawiki Whisky Auction,catawiki
2021-03-01,4371.0,4.0,248.17,77925.0,314,38735,Celtic Whiskey Auction,celtic-whiskey-auction
2021-03-01,26314.0,0.0,265.03,367866.0,1388,38735,Irish Whiskey Auctions,irish-whiskey-auctions
2021-03-01,28000.0,4.0,373.0,362930.91,973,38735,Just Whisky Auctions,just-whisky
2021-03-01,3000.0,20.0,480.94,50980.0,106,38735,McTear’s Whisky Auction,mctears
2021-03-01,4500.0,15.0,231.32,146660.0,634,38735,Rum Auctioneer,rumauctioneer
2021-03-01,58000.0,0.0,250.1,1612635.0,6448,38735,Scotch Whisky Auctions,scotchwhiskyauctions
2021-03-01,251298.6,35.9,1962.29,1006654.1,513,38735,Sotheby's Whisky Auction,sothebys-whisky-auction
2021-03-01,8500.0,10.0,307.98,120727.0,392,38735,Speyside Whisky Auctions,speyside-whisky-auctions
2021-03-01,9000.0,7.0,219.94,535762.26,2436,38735,The Grand Whisky Auction,thegrandwhiskyauction
2021-03-01,10000.0,15.0,206.54,184442.0,893,38735,The Whisky Shop Auctions,the-whisky-shop-auctions
2021-03-01,5745.0,7.0,212.35,181987.0,857,38735,Unicorn Auctions,unicorn-auctions
2021-03-01,11527.5,56.8,739.96,125793.7,170,38735,Waddington's Whisky Auction,waddingtons-whisky-auction
2021-03-01,52000.0,5.0,316.71,376889.0,1190,38735,Whisky.Auction,whiskyauction
2021-03-01,18264.8,0.9,181.59,1055745.4,5814,38735,WhiskyAuction.com,whiskyauctioncom
2021-03-01,60000.0,15.0,494.56,3554908.0,7188,38735,Whisky Auctioneer,whiskyauctioneer
2021-03-01,1350.0,5.0,146.57,16122.5,110,38735,Whisky Bull Auctions,whisky-bull-auctions
2021-03-01,125500.0,20.0,403.38,1298077.5,3218,38735,Whisky Hammer,whisky-hammer
2021-03-01,4100.0,1.0,281.21,136106.5,484,38735,Whisky-Online Auctions,whisky-online-auctions
2021-03-01,2050.0,2.5,62.99,41070.0,652,38735,WVA Whisky Auctions,wva-whisky-auctions
2021-02-01,88347.0,297.0,4906.46,402330.0,82,35065,Bonhams Whisky Auction,bonhams
2021-02-01,5292.0,9.0,187.78,904720.0,4818,35065,Catawiki Whisky Auction,catawiki
2021-02-01,500.0,25.0,107.06,1927.0,18,35065,Global Whisky Auctions,global-whisky-auctions
2021-02-01,5292.0,0.0,232.03,253841.0,1094,35065,Irish Whiskey Auctions,irish-whiskey-auctions
2021-02-01,63250.0,4.0,398.38,539810.11,1355,35065,Just Whisky Auctions,just-whisky
2021-02-01,3200.0,25.0,317.9,92510.0,291,35065,McTear’s Whisky Auction,mctears
2021-02-01,5400.0,15.0,242.13,219372.0,906,35065,Rum Auctioneer,rumauctioneer
2021-02-01,42000.0,0.0,255.16,1658310.0,6499,35065,Scotch Whisky Auctions,scotchwhiskyauctions
2021-02-01,69514.2,100.0,8762.22,411824.2,47,35065,Sotheby's Whisky Auction,sothebys-whisky-auction
2021-02-01,12500.0,7.0,293.89,130486.76,444,35065,Speyside Whisky Auctions,speyside-whisky-auctions
2021-02-01,5000.0,7.0,218.03,352557.85,1617,35065,The Grand Whisky Auction,thegrandwhiskyauction
2021-02-01,3300.0,16.0,199.71,113832.0,570,35065,The Whisky Shop Auctions,the-whisky-shop-auctions
2021-02-01,5474.0,4.0,226.21,238655.0,1055,35065,Unicorn Auctions,unicorn-auctions
2021-02-01,58000.0,5.0,444.51,502736.0,1131,35065,Whisky.Auction,whiskyauction
2021-02-01,8830.6,0.9,146.79,523147.5,3564,35065,WhiskyAuction.com,whiskyauctioncom
2021-02-01,1000000.0,15.0,815.42,6234738.0,7646,35065,Whisky Auctioneer,whiskyauctioneer
2021-02-01,2300.0,5.0,125.24,23669.5,189,35065,Whisky Bull Auctions,whisky-bull-auctions
2021-02-01,41750.0,20.0,406.58,964810.0,2373,35065,Whisky Hammer,whisky-hammer
2021-02-01,54800.0,2.0,593.0,372407.0,628,35065,Whisky-Online Auctions,whisky-online-auctions
2021-02-01,3100.0,2.5,69.78,51497.5,738,35065,WVA Whisky Auctions,wva-whisky-auctions
2021-01-01,79841.0,187.0,3423.47,845597.0,247,31995,Bonhams Whisky Auction,bonhams
2021-01-01,6293.0,7.0,194.09,905052.0,4663,31995,Catawiki Whisky Auction,catawiki
2021-01-01,9530.0,15.0,390.87,64494.0,165,31995,Celtic Whiskey Auction,celtic-whiskey-auction
2021-01-01,60000.0,3.23,308.83,501225.45,1623,31995,Just Whisky Auctions,just-whisky
2021-01-01,8000.0,15.0,227.73,241848.0,1062,31995,Rum Auctioneer,rumauctioneer
2021-01-01,25000.0,0.0,299.44,1620575.0,5412,31995,Scotch Whisky Auctions,scotchwhiskyauctions
2021-01-01,24526.1,235.8,3477.1,212102.8,61,31995,Sotheby's Whisky Auction,sothebys-whisky-auction
2021-01-01,17000.0,5.0,262.15,120325.81,459,31995,Speyside Whisky Auctions,speyside-whisky-auctions
2021-01-01,57500.0,5.0,227.76,395612.49,1737,31995,The Grand Whisky Auction,thegrandwhiskyauction
2021-01-01,2700.0,15.0,205.61,108359.0,527,31995,The Whisky Shop Auctions,the-whisky-shop-auctions
2021-01-01,44500.0,2.0,206.08,494186.0,2398,31995,Whisky.Auction,whiskyauction
2021-01-01,14955.1,0.9,179.91,1070267.5,5949,31995,WhiskyAuction.com,whiskyauctioncom
2021-01-01,56500.0,15.0,447.25,2551999.0,5706,31995,Whisky Auctioneer,whiskyauctioneer
2021-01-01,3300.0,5.0,258.15,31752.38,123,31995,Whisky Bull Auctions,whisky-bull-auctions
2021-01-01,31250.0,20.0,431.6,646532.5,1498,31995,Whisky Hammer,whisky-hammer
2021-01-01,980.0,2.5,79.45,28997.5,365,31995,WVA Whisky Auctions,wva-whisky-auctions
2020-12-01,8500.0,160.0,1347.5,107800.0,80,40691,Bonhams Whisky Auction,bonhams
2020-12-01,8984.0,7.0,189.25,960643.0,5076,40691,Catawiki Whisky Auction,catawiki
2020-12-01,3333.0,29.0,335.25,5364.0,16,40691,Global Whisky Auctions,global-whisky-auctions
2020-12-01,6331.0,0.0,186.53,179812.0,964,40691,Irish Whiskey Auctions,irish-whiskey-auctions
2020-12-01,70000.0,2.5,411.58,507889.1,1234,40691,Just Whisky Auctions,just-whisky
2020-12-01,1600.0,20.0,140.5,39340.0,280,40691,McTear’s Whisky Auction,mctears
2020-12-01,27500.0,15.0,267.56,228762.0,855,40691,Rum Auctioneer,rumauctioneer
2020-12-01,12500.0,0.0,251.91,1571185.0,6237,40691,Scotch Whisky Auctions,scotchwhiskyauctions
2020-12-01,15373.1,192.2,1862.62,195575.3,105,40691,Sotheby's Whisky Auction,sothebys-whisky-auction
2020-12-01,5025.0,5.0,208.52,151591.08,727,40691,Speyside Whisky Auctions,speyside-whisky-auctions
2020-12-01,13000.0,5.0,231.8,635124.6,2740,40691,The Grand Whisky Auction,thegrandwhiskyauction
2020-12-01,9500.0,15.0,180.88,136022.0,752,40691,The Whisky Shop Auctions,the-whisky-shop-auctions
2020-12-01,2251.0,15.0,189.55,166805.0,880,40691,Unicorn Auctions,unicorn-auctions
2020-12-01,5353.9,74.8,565.24,74612.1,132,40691,Waddington's Whisky Auction,waddingtons-whisky-auction
2020-12-01,11000.0,9.0,344.74,385071.0,1117,40691,Whisky.Auction,whiskyauction
2020-12-01,11693.5,0.9,198.85,1315962.6,6618,40691,WhiskyAuction.com,whiskyauctioncom
2020-12-01,72000.0,0.0,488.07,3885024.0,7960,40691,Whisky Auctioneer,whiskyauctioneer
2020-12-01,14150.0,5.0,295.19,47230.5,160,40691,Whisky Bull Auctions,whisky-bull-auctions
2020-12-01,88000.0,20.0,339.08,1189147.5,3507,40691,Whisky Hammer,whisky-hammer
2020-12-01,64000.0,5.0,720.96,506838.0,703,40691,Whisky-Online Auctions,whisky-online-auctions
2020-12-01,3400.0,2.5,85.73,46977.5,548,40691,WVA Whisky Auctions,wva-whisky-auctions
2020-11-01,68037.0,340.0,6070.03,2306610.0,380,45162,Bonhams Whisky Auction,bonhams
2020-11-01,27062.0,2.0,202.97,1041663.0,5132,45162,Catawiki Whisky Auction,catawiki
2020-11-01,3076.0,5.0,170.69,44209.0,259,45162,Celtic Whiskey Auction,celtic-whiskey-auction
2020-11-01,2025.0,16.0,285.61,10282.0,36,45162,Global Whisky Auctions,global-whisky-auctions
2020-11-01,3879.0,0.0,158.66,161356.0,1017,45162,Irish Whiskey Auctions,irish-whiskey-auctions
2020-11-01,25751.0,6.0,276.12,319471.14,1157,45162,Just Whisky Auctions,just-whisky
2020-11-01,2800.0,15.0,159.82,49705.0,311,45162,McTear’s Whisky Auction,mctears
2020-11-01,6200.0,15.0,253.35,229791.0,907,45162,Rum Auctioneer,rumauctioneer
2020-11-01,20000.0,0.0,213.37,2218575.0,10398,45162,Scotch Whisky Auctions,scotchwhiskyauctions
2020-11-01,74802.8,193.3,5160.88,939280.9,182,45162,Sotheby's Whisky Auction,sothebys-whisky-auction
2020-11-01,4650.0,5.0,182.3,100262.59,550,45162,Speyside Whisky Auctions,speyside-whisky-auctions
2020-11-01,19000.0,7.0,226.18,608651.35,2691,45162,The Grand Whisky Auction,thegrandwhiskyauction
2020-11-01,8900.0,16.0,278.05,197417.0,710,45162,The Whisky Shop Auctions,the-whisky-shop-auctions
2020-11-01,4318.0,8.0,192.94,154356.0,800,45162,Unicorn Auctions,unicorn-auctions
2020-11-01,9400.0,5.0,241.72,280150.0,1159,45162,Whisky.Auction,whiskyauction
2020-11-01,13960.0,0.9,199.7,1121895.9,5618,45162,WhiskyAuction.com,whiskyauctioncom
2020-11-01,68000.0,15.0,377.55,3253748.0,8618,45162,Whisky Auctioneer,whiskyauctioneer
2020-11-01,20000.0,5.0,315.62,48921.0,155,45162,Whisky Bull Auctions,whisky-bull-auctions
2020-11-01,43250.0,20.0,320.29,1238882.5,3868,45162,Whisky Hammer,whisky-hammer
2020-11-01,17000.0,2.0,546.23,402569.5,737,45162,Whisky-Online Auctions,whisky-online-auctions
2020-11-01,3350.0,2.5,69.57,33185.0,477,45162,WVA Whisky Auctions,wva-whisky-auctions
2020-10-01,65000.0,280.0,2705.05,284030.0,105,43036,Bonhams Whisky Auction,bonhams
2020-10-01,7258.0,5.0,174.37,739485.0,4241,43036,Catawiki Whisky Auction,catawiki
2020-10-01,10524.0,0.0,157.01,152139.0,969,43036,Irish Whiskey Auctions,irish-whiskey-auctions
2020-10-01,13500.0,5.0,226.53,279086.84,1232,43036,Just Whisky Auctions,just-whisky
2020-10-01,21500.0,15.0,264.02,193527.0,733,43036,Rum Auctioneer,rumauctioneer
2020-10-01,14000.0,0.0,219.49,1785300.0,8134,43036,Scotch Whisky Auctions,scotchwhiskyauctions
2020-10-01,620000.0,120.0,5690.66,1889300.0,332,43036,Sotheby's Whisky Auction,sothebys-whisky-auction
2020-10-01,11500.0,3.0,204.49,132302.58,647,43036,Speyside Whisky Auctions,speyside-whisky-auctions
2020-10-01,16500.0,5.0,249.26,596729.91,2394,43036,The Grand Whisky Auction,thegrandwhiskyauction
2020-10-01,2800.0,16.0,224.44,107282.0,478,43036,The Whisky Shop Auctions,the-whisky-shop-auctions
2020-10-01,2393.0,4.0,157.53,68366.0,434,43036,Unicorn Auctions,unicorn-auctions
